Series_Title,Certificate,Runtime,Genre,Meta_score,No_of_Votes,IMDB_Rating
Inherit the Wind,Passed,128,"Biography, Drama, History",75,27254,8.1
Les quatre cents coups,,99,"Crime, Drama",,105291,8.1
Ben-Hur,U,212,"Adventure, Drama, History",90,219466,8.1
Kakushi-toride no san-akunin,,139,"Adventure, Drama",,34797,8.1
Le notti di Cabiria,,110,Drama,,42940,8.1
Kumonosu-jô,,110,"Drama, History",,46678,8.1
The Bridge on the River Kwai,PG,161,"Adventure, Drama, War",87,203463,8.1
On the Waterfront,A,108,"Crime, Drama, Thriller",91,142107,8.1
Le salaire de la peur,U,131,"Adventure, Drama, Thriller",85,54588,8.1
Ace in the Hole,Approved,111,"Drama, Film-Noir",72,31568,8.1
White Heat,,114,"Action, Crime, Drama",,29807,8.1
The Third Man,Approved,104,"Film-Noir, Mystery, Thriller",97,158731,8.1
The Red Shoes,,135,"Drama, Music, Romance",,30935,8.1
The Shop Around the Corner,,99,"Comedy, Drama, Romance",96,28450,8.1
Rebecca,Approved,130,"Drama, Mystery, Romance",86,123942,8.1
Mr. Smith Goes to Washington,Passed,129,"Comedy, Drama",73,107017,8.1
Gone with the Wind,U,238,"Drama, History, Romance",97,290074,8.1
La Grande Illusion,,113,"Drama, War",,33829,8.1
It Happened One Night,Approved,105,"Comedy, Romance",87,94016,8.1
La passion de Jeanne d'Arc,Passed,110,"Biography, Drama, History",,47676,8.1
The Circus,Passed,72,"Comedy, Romance",90,30205,8.1
Sunrise: A Song of Two Humans,Passed,94,"Drama, Romance",,46865,8.1
The General,Passed,67,"Action, Adventure, Comedy",,81156,8.1
Das Cabinet des Dr. Caligari,,76,"Fantasy, Horror, Mystery",,57428,8.1
Badhaai ho,UA,124,"Comedy, Drama",,27978,8
Togo,U,113,"Adventure, Biography, Drama",69,37556,8
Airlift,UA,130,"Drama, History",,52897,8
Bajrangi Bhaijaan,UA,163,"Action, Adventure, Comedy",,72245,8
Baby,UA,159,"Action, Crime, Thriller",,52848,8
La La Land,A,128,"Comedy, Drama, Music",94,505918,8
Lion,U,118,"Biography, Drama",69,213970,8
The Martian,UA,144,"Adventure, Drama, Sci-Fi",80,760094,8
Zootopia,U,108,"Animation, Adventure, Comedy",78,434143,8
Bãhubali: The Beginning,UA,159,"Action, Drama",,102972,8
Kaguyahime no monogatari,U,137,"Animation, Adventure, Drama",89,38746,8
Wonder,U,113,"Drama, Family",66,141923,8
Gully Boy,UA,154,"Drama, Music, Romance",65,31886,8
Special Chabbis,UA,144,"Crime, Drama, Thriller",,51069,8
Short Term 12,R,96,Drama,82,81770,8
